,id,description,mpn,total_stock,batch_average,time_average,last_batch,risk,rop_estimate
40,0xhfw7cbm2h3h9jhchkjqdpwz9,Nano quick starter guide,,353,-273.5,0.0,294,Low - not enough data,-7.0
41,1hnxyw1ekcjxza0cdt1jgckbsb,DIODE SCHOTTKY 40V 1A DO214AC,CDBA140-G,245,-54.0,9.333333333333334,102,Low,30.333333333333336
42,2c3f4mnxz0k4ab0h4t72mnk559,"4.8"" Long Nozzle, Taper Tip for Twist-Lock Connection Two-Part Cartridge (10 PACKS)....(STATIC MIXER 5MM 24 EB SQ 10PCS)",74695A222,20,-6.5,0.0,31,Low - not enough data,-7.0
43,15b0mq66x0gm5aanpxgtvzpknr,EAR99 65LVDS2 Tape & Reel (TR) LVDS interface transceiver 454mV 0.00002A 13.012431mg 3.1ns,SN65LVDS2DBVR,738,-3.0,0.0,322,Low - not enough data,-7.0
44,1facbd5n6ygq08mjg7aygs2e1d,CWHUSKY LABEL rev. 1.1B,,26,-1.0,0.0,290,Low - not enough data,-7.0
45,1fbk5jsrmrk6n8ads94pfv9qj2,Chipshover Power Switch Cable,,13,-5.5,113.0,208,Low,219.0
46,1mb5fx8fzwkgva5ydjzxp1wa9x,S-8264,,81,-10.835,30.958333333333332,7,Low,209.70833333333331
47,1q638v4zxejmfbwv2aqjyqjbcb,RC Series 0603 0.1 W 33 Ohms 1% ±100 ppm/°C SMT Thick Film Chip Resistor,RC0603FR-0733RL,2021,-202.72222222222226,46.4,102,Low,410.59999999999997
48,1f18krndqwhj98n92tp6zajxj8,CW503 Front-Panel,,150,-54.0,0.0,87,Low - not enough data,-7.0
49,26pnamdgtyjzqawn1r1s0zjnpd,"Hex L-Key with Standard Tip, 2 mm Size, 2"" Overall Length",7289A12,37,-3.166666666666666,49.5,60,Low,537.5
50,0bvr8xka74jvkaxkqtebgf845v,,,399,-24.0,2.5,312,Low,33.0
51,2d4zqazzcyj0hbfxtvdevj12nz,TL431 Series 36 V 100mA Adjustable Precision Shunt Regulator - SOT-23,"TL431ACDBZR,215",278,-51.0,0.0,326,Low - not enough data,-7.0
52,1p0jswmmz4kebabxmwx0pda47v,"RES, 10M, 1%, 1210, THICK FILM",KTR25JZPF1005,17,-14.0,0.0,322,Low - not enough data,-7.0
53,173hbeq6ywkrc9vp0jk63vtw8c,"18-8 Stainless Steel Locknut with External-Tooth Lock Washer,M3 x 0.5mm Thread",90923A216,72,-21.5,53.5,31,Low,153.5
54,176h9kx5vwkaqay8kxz6r58ajf,RC Series 0603 0.1 W 100 kOhms 1% ±100 ppm/°C SMT Thick Film Chip Resistor,RC0603FR-07100KL,2668,-45.5,41.0,59,Low,2371.0
55,0ne8bbyzkyhr58y6f9b5rc58ms,Cable Assembly USB 1m USB 2.0 Type A to USB 2.0 Type B 4 to 4 POS M-M,102-1030-BL-F0100,22,-14.051282051282051,13.238888888888887,31,High,6.238888888888887
56,0e92vxae1pg5eb9mr9x6kg3g3x,"FAN BERGEN & LUNA OT (Female Threaded Hex Standoff, Aluminum, 1/8"" Hex, 3/16"" Long, 2-56 Thread)",91780A021,68,-39.44444444444444,19.733333333333334,53,High,12.733333333333334
57,1885wtann0hpnagyk66f2s7qks,UFO Target board MPC5676R,,5,-2.5,122.0,198,Low,237.0
58,0nhh9wcs5agrbbs4jy2cfzsjmd,CHIPSHOUTER END COVER B,,12,-35.333333333333336,110.0,138,High - overdue for batch,-35.0
59,0eqg9sjyhghjc8bqbjqxjnnp2d,Raspberry Pi Pico Embedded Dev Module,SC0915,60,-36.166666666666664,132.0,68,Low,125.0
60,2gsf446jm4jv294kqehtpb9y5e,Conn SMA RCP 0Hz to 18GHz 50Ohm Solder ST Thru-Hole Gold Over Nickel,142-0701-231,90,-30.0,0.0,55,Low - not enough data,-7.0
61,2w03vgmw0chdqaqrqnhmw51a4y,"Anti-Static Bag 4x6"".....Anti-Static Control Products 4 x 6"" pkg./100",30046,1078,-64.3952380952381,50.666666666666664,25,Low,803.6666666666666
62,0jq707dqepkpyah3dz4r9p83q9,6 inch USB C-C Cable,DH-20UE00062-NH,37,-9.666666666666666,112.0,53,Low,329.0
63,1cdhfsdp6gjq3ajt1k55h84f24,Chipshover,,11,-5.5,113.0,208,Low,219.0
64,26kjth87tmj009nff5n11cbgry,C Series 0603 2.2 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor,C1608X5R1C225K080AB,4000,-988.0,0.0,327,Low - not enough data,-7.0
65,1c2gecfedeg2893kvt5pxktxhb,Diode Schottky Rectifier 40V 0.5A SOD-123 SMT RoHS,MBR0540-TP,235,-54.0,9.333333333333334,102,Low,30.333333333333336
66,10h4fgshdahqkbssvja3p320s6,PicoEMP,,4,-1.077272727272727,6.604761904761905,12,High,12.814285714285717
67,2m0n509xygjfs93q9bc95f8x63,JS Series DPDT On-On Gull Wing Surface Mount Subminiature Slide Switch,JS202011SCQN,19,-42.39666666666667,48.53333333333333,12,Low,29.0
68,1zm2jfb3wpjk39d0tm4rynkfe6,"MCU, 32BIT, 133MHZ, QFN-56;",RP2040TR7,500,-500.0,0.0,325,Low - not enough data,-7.0
69,2m7km44f5yjmt9s6kjcnxzpsc7,,,8,-4.0,0.0,278,Low - not enough data,-7.0
70,1yw4vrzwr6ja39fcms0x7keesa,NPCA Development Boards & Kits - ARM STM32F3 Target for CW308 (UNTESTED),,500,-200.0,0.0,88,Low - not enough data,-7.0
71,2tycznezhejxd84kkq2p2wr0q4,UFO Target ESP32 TESTED,,28,-3.175,139.77777777777777,14,Low,1111.2222222222222
72,1xdrmy52wwka2976qev4q9zb0r,MCU 32-Bit ARM Cortex M23 RISC 64KB Flash 3.3V 32-Pin TQFP Tray/Tube,ATSAML11E16A-AU,1,-56.0,34.666666666666664,194,High - overdue for batch,-166.0
73,0tkvkqnzfak779zg69yjhetchv,"Microcoaxial RF, 50 Ohm, PCB Vertical Jack Receptacle, SMT, 1.25mm (.049"""") Mounted Height",73412-0110,9,-2.25,9.0,153,Low,29.0
74,2n9chk3dk4j8d9hr8xj12dfjf3,"CONN FEMALE 2POS .100"" R/A GOLD",PPPC021LGBN-RC,239,-54.0,9.333333333333334,102,Low,30.333333333333336
75,39raqxg2ztj21bafmd3k5xabfq,Standoff; Threaded; Female; 1/4 Round; 4-40 Thread; .375 L; Alum/Clear Iridite,3479,681,-119.22992555831266,7.26111111111111,7,Low,29.30555555555555
76,2esef7agerkpd9b9qhbajc01sq,Backshell (90 deg) Orientation 1,,5,-1.25,0.0,19,Low - not enough data,-7.0
77,1yw7jdyhj4k6vakymgjm6aqx90,Development Boards & Kits - AVR NOTDuino Kit,,1,-2.0,0.0,23,Low - not enough data,-30.0
78,307q06zt54jwsacpsxpw30ssq1,Chipshover ESTOP cable,,6,-3.333333333333333,0.0,208,Low - not enough data,-7.0
79,228p594v2ykds8d7v1jmb4shbe,Jumper Wire Kit,920-0169-50,0,-2.0,0.0,80,Low - not enough data,-87.0
80,17fq1a9c7jkx583w316d3c4krx,Screw Caphead 6-32 1/2,92196A148,60,-34.0,0.0,322,Low - not enough data,-7.0
81,30dx538craha1a3va7pw5n56kx,USB INTERFACE board REV. 03   (TESTED),,11,-15.523809523809524,41.44444444444445,31,High,3.0
82,18nbvxqdt4hmsabqrt275qgpe1,Thick Film Resistors - SMD 2.2K OHM 1%,RC0603FR-072K2L,3480,-20.0,0.0,283,Low - not enough data,-7.0
83,1570pkx9p8hdmbfpmbba4jt6y2,Chipwhisperer Husky L0 kit,,6,-3.80625,22.68730158730159,14,Medium,15.68730158730159
84,2pn9hkk15rkb98yre16c0eh46v,FOR CHIPSHOUTER END COVERS,,12,-35.333333333333336,110.0,138,High - overdue for batch,-35.0
85,36vngmv82wkwd8gcrv9ty2z8bz,with PROP65 Warning Label printed (small orange box for UFO targets),,1884,-59.163333333333334,17.841634738186464,10,Low,546.0906768837804
86,23y6bcmhnyghqan6ghm5t8btpb,Heat Sink Kit for Raspberry Pi 4B - Black Aluminum,110991328,174,-120.27083333333333,16.484126984126984,37,High,9.484126984126984
87,2ssg5dke98gn3a3464gr9n4vjc,Chipshover case label,,5,-6.666666666666667,0.0,207,Low - not enough data,-214.0
88,2942vqe8wegqa8qmb6zbgsxwp4,Other Modules ChipSHOUTER Electromagnetic Fault Injection (EMFI) Kit,,1,-1.4475,8.342857142857143,14,High - overdue for batch,-12.0
89,3px31r7e7rh159s7efsabrhj9e,"SMA Male to MCX Male, 15cm (12"")",,322,-38.87708333333333,15.238333333333335,10,Low,114.90666666666668
90,2h4f13mkxwk16bqqyk6ynvsa7s,Res Thick Film 0603 200K Ohm 1% 0.1W(1/10W) ?100ppm/C Molded SMD Paper T/R,RC0603FR-07200KL,2444,-28.0,7.0,4,Low,602.0
91,1jhnjy9zb4h5kb899v638d6ep6,Connector Shrouded Header 20 Position 2.54mm Solder Straight Thru-Hole,75869-104LF,2,-30.0,0.0,12,Low - not enough data,-19.0
92,1958pkhmawjvpazfssz0qgphd5,iCE40 (small FPGA) target,,8,-26.40601503759399,15.023148148148147,10,High - overdue for batch,-2.0
93,2adgc0mt0ak2b8jr2t51y8kryw,TL3301 Series SPST 1.6 N Round Button J-Bend Surface Mount Tactile Switch,TL3301AF160QJ,8,-52.0,9.0,60,High - overdue for batch,-58.0
94,1cy3j4fph2jb1b03qdwaj0bcyk,"2 C, Open Top, .100"" CC; No Mounting, 105 C, PBT; Phos Bronze, Gold Flash",SPC02SXCN-RC,851,-64.07,5.1,24,Low,59.3
95,2eazr3k6twjwkbc8tm07y70d11,UFO TARGET EFR32MG21A TESTED,,32,-14.085714285714285,45.333333333333336,23,Low,83.66666666666667
96,2n6s2mn86rja182vc2ymqb6g4j,,FDV301N,444,-10.0,0.0,327,Low - not enough data,-7.0
97,1qkbs3qexcjg9bgpr88m2javxc,"connector, rf coaxial, sma in-series adapter, straight plug to plug, 50 ohm",132168,14,-15.094642857142858,11.32881562881563,2,High,2.0
98,1fd31jxd96gvm8fwfd2dtbgrwb,Low Speed/Full Speed/High Speed USB Interface Device USB 1.1/USB 2.0 3.3V Tray 56-Pin QFN EP,USB3500-ABZJ,2449,-1.0,0.0,324,Low - not enough data,-7.0
99,349yj18cs0k41b0cyjcnc6ryw0,BROWN BOX CORRUGATED BOXES,S-4393,50,-4.0,0.0,319,Low - not enough data,-7.0
100,46d572wcf6k1198ss685hhjd3r,"USB Full Speed to Basic UART IC with USB Charger Detection, SSOP-16",FT230XS-U,1,-71.0,0.0,179,Low - not enough data,-186.0
101,1xzc2pkamjkkpagmdgcgdga1fk,Switch Tactile N.O. SPST Round Button J-Bend 0.01A,KSC243JLFG,0,-51.0,0.0,181,Low - not enough data,-188.0
102,35mzx02sgwhk795kdfwhnsred8,PROBE SET with Power Supply KIT SLEEVE COVER,,9,-18.75,49.0,61,High - overdue for batch,-19.0
103,4drepgntqek978nk5rtf9616pw,Res Thick Film 0402 3.3K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,RMCF0402FT3K30,9688,-144.0,14.0,102,Low,931.0
104,2t4bras5h4jc7a1fcjyq51002v,JUMPER WIRE VARIOUS 20PCS,920-0067-01,18,-360.5857142857143,11.132967032967034,10,High - overdue for batch,-6.0
105,3a6w56t7jyh3basfysfet05662,,MR3010H05B1-RSR,9,-3.0,35.333333333333336,60,Low,99.0
106,4734tpvnkwgc6b6a5p8z9fnn0g,MCU 32-Bit SAM4S ARM Cortex M4 RISC 128KB Flash 1.2V/3.3V 48-Pin QFN Tray,ATSAM4S2AA-MU,0,-188.5,0.0,175,Low - not enough data,-182.0
107,2qx6gvhwfthbh91tz30axbahej,Conn; Rect; UnshroudedHdr; 5Cnts; ThruHole; BergStik; 2.54mmPin-Spng; Vert; 1-Row,68000-105HLF,78,-23.722222222222225,116.5,91,Low,342.5
108,3b67bnkaqrhye8hwz84rrw4e37,"Rf Coax Conn, Plug, Cable, 50 Ohm Rohs Compliant: Yes |Huber+Suhner 11_MCX-50-2-19/111_NH",11_MCX-50-2-19/111_NH,117,-50.0,0.0,191,Low - not enough data,-7.0
109,38ayrzy4qwjgxawa45sm10xb7d,Ferrite Beads Multi-Layer 600Ohm 25% 100MHz 500mA 380mOhm DCR 0603 Automotive Paper T/R,BLM18AG601SN1D,650,-100.0,0.0,327,Low - not enough data,-7.0
110,2r1nty4az0j1kamsjw2qck4d7k,AC Power Cords 250V/2.5A 6'Cord BSI Plug BS1363AW/3AFUSE,370021-01,8,-1.0,0.0,192,Low - not enough data,-7.0
111,4n1kmp1e7jj9h8n1wpg0njdt1z,CWLITE 2PART SLEEVE COVER,,56,-29.722222222222225,127.0,67,Low,120.0
112,23e3g6a834h7pan2stbz4xs7mb,10x10x6 BROWN BOX,S-19857,29,-21.0,0.0,319,Low - not enough data,-7.0
113,1w45xvhqqphgq8av34zemw56j5,"RES, 300K, 1%, 3W, 2512, THICK FILM",3522300KFT,400,-100.0,0.0,69,Low - not enough data,-7.0
114,3hhhbm307rkembk67111n0ebds,WHITE BOX FOR NAE-SCAPACK-L2 KIT (12X12X4),S-11244,0,-19.36,14.35,2,High,5.0
115,38rhybbt6cggp8cqwvbd576tct,"Cable 20POS Socket to Socket 3""",D89120-0131HK-3365/20-D-3,36,-9.375,90.0,53,Low,263.0
116,2vbj00qynwk0mam5krq6svxjvr,Res Cermet Trimmer 5K Ohm 10% 1/4W 5(Elec)Turn 1.5mm (4.8 X 5 X 3.71mm) J-Hook SMD Embossed T/R,3214J-1-502E,247,-43.20000000000001,7.0,102,Medium,28.0
117,4zh4vpnjzrkdfaraz80xtddze0,ARM XMEGA Target for CW308,,10,-1.666666666666666,49.0,222,Low,287.0
118,3de4zjfx36j1xbt4vy7g916pxq,Hammond Black Flame Retardant ABS Plastic (3.30 x 2.20 x 0.80) Enclosure with No Flange,1591MBK,3,-13.7,69.5,12,Low,50.0
119,2wayfsx27rgm0bx5q1rgg3b16f,"ALUMINUM ELECTROLYTIC CAPACITOR 220UF, 16V, 20%, RADIAL",227CKE016M,19,-50.0,0.0,91,Low - not enough data,-98.0
120,34kw7dmr3rjkpbc6wq64x1fcwn,PCA for UFO Main Board,,223,-62.629999999999995,52.986111111111114,19,Low,151.95833333333334
121,3k2bx4gph2gdham84zbh6zd9ax,Processor Supervisor 3V 1 Active Low/CMOS 3-Pin SSOP T/R,BD49K30G-TL,717,-100.0,0.0,326,Low - not enough data,-7.0
122,52f0zg94v8j3cadsntmvweedmx,Res Thick Film 1.0 x 0.5 mm 14.7K Ohm 1% 0.063W(1/16W) 100ppm/ C Molded SMD Paper T/R,RC0402FR-0714K7L,9945,-50.0,0.0,59,Low - not enough data,-7.0
123,2bkc405tbcgwj84symf6v1n3ms,CUSTOMIZED PINK FOAM FOR CHIPSHOUTER UNIT,,19,-16.69047619047619,54.833333333333336,31,Low,47.833333333333336
124,3n8qc2h03rgqd94t1748vdn3vx,"18-8 Stainless Steel Socket Head Screw, M3 x 0.5 mm Thread, 10 mm Long",91292A113,646,-91.78,58.166666666666664,7,Low,400.16666666666663
125,55ddyd3znwg1qbqd3keym2y3c5,Test Point; Compact; THM; PC; .350 L; .125 OD; Heat Resistant Nylon 46; Orange,5008,114,-36.44444444444444,133.0,55,Low,392.0
126,56e0nfptq6gbf9cstqt361zrx9,Chipshouter injection probe tips label,,38,-14.872727272727273,32.6,31,Low,58.2
127,3phfmq03r4hfj9d8h30rc92cf7,Cable Assembly AC Power 1.82m CEE 7/VII to C5 3 to 3 POS M-F 19AWG,364012-01,12,-9.520562770562771,26.377777777777776,31,Medium,19.377777777777776
128,33tt4sgc9ghmmbvhmw31q4y62j,Non-Lighted Pushbutton Switch Black Thermoplastic SPST 250AC,MJTP1230,54,-32.361111111111114,77.66666666666667,91,Low,70.66666666666667
129,560ptxwtn6gnw8za7n6h812d63,"Metal Film Resistor, 10KOHM, 250mW",,870,-100.0,0.0,91,Low - not enough data,-7.0
130,3cq1k2haawkqybw0f9ht8mevvh,Red Square Non-Illuminated Snap Fit Pushbutton Switch Cap,4JRED,12,-13.333333333333334,0.0,208,Low - not enough data,-215.0
131,2mdx2hydmahm592wxt9vbe9rw8,Development Boards & Kits - ARM ChipWhisperer-Nano,,34,-18.145714285714284,30.722222222222225,14,Medium,23.722222222222225
132,5fa1ap8cnwjqt9r0a3vb7vxqa2,CW-Target - NOTDUINO Blank PCB,,141,-50.0,0.0,91,Low - not enough data,-7.0
133,3xhhcegyhrgr8bd9ve07yj45gq,Res Thick Film 0805 75 Ohm 5% 1/4W ±200ppm/°C Molded SMD SMD Punched Carrier T/R,ERJ-P06J750V,1402,-100.0,0.0,69,Low - not enough data,-7.0
134,340ravwnqjkg18djx3g2mje500,CW341 (Kintex UltraScale) KU095,,0,-9.2,32.5,196,High - overdue for batch,-170.0
135,3xs0as2w2rkgr86c1mp8gdhc50,Contact PIN Solder ST Thru-Hole Bulk,9022-0-00-15-00-00-33-0,96,-16.666666666666668,0.0,53,Low - not enough data,-7.0
136,34tx2c1h0ah8jba1c4vxzmfxxt,"PCA for CW305, 7A35 Variant",,1,-3.083333333333333,41.88888888888889,91,High - overdue for batch,-56.0
137,57bk6ph0r6jzxbcm402a7crc9c,,,0,-5.0,1.0,303,High - overdue for batch,-309.0
138,3h15wwvdz6ggybdarnt2ykk2a8,"SMD Chip Resistor, 220 kOhm, ï¿½ 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose",RC0402FR-07220KL,9000,-1000.0,0.0,327,Low - not enough data,-7.0
139,2tebx70ha6j2aaw239engrdnpj,Chipshouter hardware accessories kit,,38,-15.614285714285714,41.22222222222222,31,Low,75.44444444444444
140,2rea0dfvx8jambkm8tbn5akjrz,Heatsink Brass Push Pin 14MM,ATS-PP-06,6,-19.666666666666668,135.0,53,Low,75.0
141,2xp8g06zn8jyv9ageyqsfy46mn,Nylon Tubluar Spacer 0.062 in. Length 0.25 OD 0.147 I,9905-062,1117,-323.15000000000003,11.904761904761905,61,Low,28.714285714285715
142,4412z5mnwwgkfahe7ad5r0v1mn,"PCA for CW305, 7A100 Variant",,6,-15.905555555555553,22.0,41,High - overdue for batch,-26.0
143,5vkjm4b03yk7v822zrt9z3b5cd,Res Thick Film 0402 10K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,RMCF0402FT10K0,0,-160.0,28.0,102,High - overdue for batch,-81.0
144,41jsaebvnghh690ac3922q854m,"Right Angle USB C-C, 12""",,127,-9.666666666666666,112.0,53,Low,1449.0
145,5e9apj5chtjbr84qcdf7a586r9,LDA111 Series Single Channel 30V 8500 Vrms Transistor Output Optocoupler - DIP-6,LDA111STR,8,-50.0,0.0,69,Low - not enough data,-76.0
146,2yatvbypbrg74btcq64erkdnsz,USB to DC Power Jack Cable(Ferrite on DC end),,0,-23.0,0.0,25,Low - not enough data,-32.0
147,45tdwhtzw6j618nzpy7p1ejep9,"KK 254 Crimp Housing, Friction Ramp with Polarizing Ribs, 4 Circuits, Natural",22-01-3047,829,-13.0,41.0,322,Low,2576.0
148,3aehejcmhjg0e8fy03a0n38gmk,"Surface Mount Thick Film Resistor, RC Series, 220 ohm, 100 mW, - 1%, 50 V, 0603 [1608 Metric]",RC0603FR-07220RL,1181,-174.0,1.0,180,High - overdue for batch,-1.0
149,5fcf2sdrfckr4b3khekby5bx4r,"Jumper Wire Female 7"" 100PCS (BLACK female-female)",920-0110-01,0,-54.34920634920635,20.897435897435898,109,High - overdue for batch,-95.0
150,35g4yx1eg6kds9na71ayarchzr,"PCB for NPCA-DIFFPROBE-02 (Single PCB, ordered in Panel)",,227,-54.0,9.333333333333334,102,Low,30.333333333333336
151,4c9s1asqpmg0589fc156rfg18k,HARDWARE HACKING HANDBOOK,,27,-1.0,0.0,201,Low - not enough data,-7.0
152,3ej2cvatspkn1b103wyapp4jbc,PCA: ChipSHOUTER main board,,87,-23.333333333333332,42.0,31,Low,119.0
153,5mb993v6m4g898vnbvd7951n87,PCB PicoEMP,,464,-100.0,0.0,69,Low - not enough data,-7.0
